,Unnamed: 0,Agent_Age,Agent_Rating,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Category,Distance_km
0,0,37,4.9,5,11,11,Sunny,High,motorcycle,Urban ,Clothing,3.0251492856775037
1,1,34,4.5,4,19,19,Stormy,Jam,scooter,Metropolitian ,Electronics,20.183529728733618
2,2,23,4.4,5,8,8,Sandstorms,Low,motorcycle,Urban ,Sports,1.5527578022548725
3,3,38,4.7,1,18,18,Sunny,Medium,motorcycle,Metropolitian ,Cosmetics,7.790401360105752
4,4,32,4.6,5,13,13,Cloudy,High,scooter,Metropolitian ,Toys,6.2101379656240985
5,5,22,4.8,4,21,21,Cloudy,Jam,motorcycle,Urban ,Toys,4.610365144357058
6,6,33,4.7,4,19,19,Fog,Jam,scooter,Metropolitian ,Toys,16.600361127912656
7,7,35,4.6,0,17,17,Cloudy,Medium,motorcycle,Metropolitian ,Snacks,20.20525323529291
8,8,22,4.8,6,20,21,Stormy,Jam,motorcycle,Metropolitian ,Electronics,19.975520086221444
9,9,36,4.2,5,21,22,Fog,Jam,motorcycle,Metropolitian ,Toys,10.280582064621875
10,10,21,4.7,6,14,15,Stormy,High,motorcycle,Metropolitian ,Cosmetics,6.242318682701243
11,11,23,4.7,4,17,17,Sandstorms,Medium,scooter,Metropolitian ,Shoes,13.787860239172547
12,12,34,4.3,6,9,9,Sandstorms,Low,motorcycle,Metropolitian ,Apparel,2.9302578007621216
13,13,24,4.7,0,19,20,Fog,Jam,scooter,Metropolitian ,Jewelry,19.39661829066159
14,14,29,4.5,5,20,20,Sandstorms,Jam,van,Metropolitian ,Outdoors,13.763977224427641
15,15,35,4.0,1,14,15,Windy,High,scooter,Metropolitian ,Grocery,6.21800119018663
16,16,33,4.2,2,20,20,Sandstorms,Jam,motorcycle,Metropolitian ,Cosmetics,16.849939918016492
17,17,34,4.9,6,20,20,Cloudy,Jam,motorcycle,Metropolitian ,Snacks,10.757108800258132
18,18,21,4.7,1,21,21,Windy,Jam,motorcycle,Urban ,Jewelry,4.5405743887312955
19,19,25,4.1,2,20,20,Sandstorms,Jam,motorcycle,Metropolitian ,Toys,12.256076445468295
20,20,31,4.7,3,22,22,Sandstorms,Low,van,Metropolitian ,Books,19.618739348801018
21,21,37,5.0,4,8,8,Sandstorms,Low,motorcycle,Metropolitian ,Clothing,1.5581322655568652
22,22,33,4.3,6,19,19,Windy,Jam,scooter,Metropolitian ,Snacks,20.180635114114718
23,23,25,4.0,5,12,12,Cloudy,High,motorcycle,Metropolitian ,Jewelry,6.116971669682334
24,24,29,4.5,6,18,18,Sunny,Medium,van,Metropolitian ,Outdoors,17.07559440107296
25,25,27,5.0,1,20,20,Stormy,Jam,motorcycle,Urban ,Cosmetics,4.470286489434607
26,26,35,4.3,5,23,23,Cloudy,Low,scooter,Metropolitian ,Electronics,13.68204452608078
27,27,32,4.0,2,21,21,Windy,Jam,motorcycle,Metropolitian ,Cosmetics,13.973182653917394
28,28,23,4.8,5,23,23,Windy,Low,van,Urban ,Jewelry,16.85361872985359
29,29,31,4.8,4,22,22,Sandstorms,Low,motorcycle,Metropolitian ,Jewelry,4.674172124263269
30,30,36,4.1,5,22,22,Stormy,Low,motorcycle,Urban ,Cosmetics,7.60161677107109
31,31,26,4.3,4,23,23,Sandstorms,Low,motorcycle,Urban ,Jewelry,7.720324413179964
32,32,38,4.9,4,13,13,Cloudy,High,scooter,Urban ,Shoes,6.1756362610169315
33,34,32,4.6,5,22,22,Cloudy,Low,scooter,Metropolitian ,Sports,19.914686965545187
34,35,33,4.9,1,18,19,Sunny,Medium,motorcycle,Metropolitian ,Jewelry,10.724517748046026
35,36,20,4.7,6,14,14,Windy,High,scooter,Urban ,Toys,6.127835452844326
36,37,20,4.8,2,11,11,Sandstorms,Low,scooter,Metropolitian ,Kitchen,1.5203573134022046
37,38,35,5.0,4,9,9,Sunny,Low,scooter,Urban ,Clothing,3.0734537599377685
38,39,26,4.9,0,8,8,Stormy,Low,scooter,Metropolitian ,Kitchen,3.1051314775458967
39,40,22,4.8,4,23,23,Fog,Low,motorcycle,Metropolitian ,Books,10.86742683448048
40,41,35,4.3,0,17,17,Cloudy,Medium,motorcycle,Metropolitian ,Grocery,10.865464603780389
41,42,37,4.7,0,19,19,Sandstorms,Jam,motorcycle,Metropolitian ,Clothing,13.682516298592299
42,43,28,4.6,1,19,19,Stormy,Jam,scooter,Metropolitian ,Cosmetics,16.826241648658115
43,44,37,4.9,6,10,11,Fog,Low,scooter,Urban ,Grocery,3.0272369309754272
44,45,23,4.9,3,21,21,Sunny,Jam,van,Metropolitian ,Apparel,9.175193844437826
45,46,27,4.9,5,19,19,Windy,Medium,scooter,Metropolitian ,Snacks,9.315069177421892
46,47,37,4.8,2,16,16,Cloudy,Medium,motorcycle,Urban ,Jewelry,6.209021101535612
47,48,33,5.0,5,11,11,Sunny,High,scooter,Metropolitian ,Shoes,1.5203447277401048
48,49,31,4.9,6,15,15,Fog,Medium,motorcycle,Metropolitian ,Books,6.037225392443855
49,50,31,4.8,4,22,22,Stormy,Low,scooter,Metropolitian ,Cosmetics,17.078665498349437
50,52,28,4.8,0,20,20,Sandstorms,Jam,motorcycle,Metropolitian ,Kitchen,12.464329297636581
51,53,31,4.7,5,22,23,Cloudy,Low,motorcycle,Metropolitian ,Clothing,9.121425981981247
52,54,24,4.7,3,17,18,Sunny,Medium,motorcycle,Urban ,Snacks,14.02323208308448
53,55,39,4.6,0,22,23,Sunny,Low,motorcycle,Metropolitian ,Jewelry,13.392612276663236
54,57,32,4.5,5,9,9,Windy,Low,scooter,Other,Shoes,1.4899271643865588
55,59,25,4.8,1,22,22,Sandstorms,Low,scooter,Urban ,Cosmetics,11.916582838288104
56,60,33,4.9,2,21,22,Sunny,Jam,scooter,Metropolitian ,Books,4.663566689152146
57,61,30,4.4,5,22,22,Cloudy,Low,scooter,Metropolitian ,Shoes,10.641157729337541
58,62,33,5.0,3,23,23,Sandstorms,Low,motorcycle,Urban ,Jewelry,16.818368923732613
59,63,36,4.9,3,15,15,Fog,Medium,scooter,Metropolitian ,Pet Supplies,6.128551257919138
60,64,21,4.8,1,10,10,Sandstorms,Low,van,Metropolitian ,Shoes,2.996250036665907
61,65,39,4.9,1,20,21,Stormy,Jam,motorcycle,Metropolitian ,Skincare,7.342175722857793
62,68,39,4.6,2,20,20,Cloudy,Jam,scooter,Metropolitian ,Home,13.972123977178622
63,69,22,4.7,3,12,12,Sunny,High,scooter,Urban ,Sports,6.081440797008078
64,70,32,4.6,1,15,15,Fog,Medium,scooter,Metropolitian ,Outdoors,6.080891507842322
65,73,26,4.7,5,23,0,Fog,Low,motorcycle,Metropolitian ,Shoes,9.220373067021216
66,75,35,4.1,5,20,20,Sandstorms,Jam,motorcycle,Metropolitian ,Pet Supplies,13.96960642768458
67,76,39,4.6,1,20,21,Fog,Jam,scooter,Metropolitian ,Electronics,13.973206773137713
68,77,34,4.7,5,12,12,Windy,High,van,Metropolitian ,Snacks,6.058853851669116
69,78,27,4.7,3,21,21,Cloudy,Jam,scooter,Metropolitian ,Apparel,17.07799287216204
70,80,25,4.4,6,18,18,Cloudy,Medium,scooter,Metropolitian ,Jewelry,17.072871906399556
71,81,25,4.7,6,18,18,Stormy,Medium,motorcycle,Urban ,Electronics,16.818368923732613
72,82,30,5.0,3,11,11,Stormy,High,motorcycle,Metropolitian ,Kitchen,2.979502850576494
73,83,24,4.6,2,20,20,Stormy,Jam,motorcycle,Metropolitian ,Home,9.22086597503784
74,84,39,4.8,3,21,22,Stormy,Jam,motorcycle,Metropolitian ,Home,7.661331134220826
75,85,25,4.8,1,12,12,Windy,High,scooter,Urban ,Snacks,6.1755160934059985
76,86,37,4.6,4,23,23,Fog,Low,motorcycle,Urban ,Kitchen,12.209856560906529
77,87,24,5.0,1,10,10,Fog,Low,motorcycle,Metropolitian ,Electronics,1.5526813140972442
78,88,25,4.2,2,21,21,Stormy,Jam,motorcycle,Metropolitian ,Cosmetics,16.902806732498032
79,89,32,4.6,4,10,10,Stormy,Low,motorcycle,Metropolitian ,Outdoors,1.5093577696337532
80,90,34,4.7,2,23,23,Sandstorms,Low,scooter,Metropolitian ,Clothing,6048.631240095336
81,91,38,4.9,4,8,8,Cloudy,Low,scooter,Urban ,Books,3.0251186390184004
82,92,36,4.8,0,17,17,Sunny,Medium,van,Metropolitian ,Home,13.407092693002484
83,93,25,5.0,4,20,20,Stormy,Jam,motorcycle,Metropolitian ,Electronics,16.721976048741215
84,94,29,5.0,4,22,22,Sunny,Low,motorcycle,Metropolitian ,Outdoors,7.772343594464245
